Temps;Vitesse du véhicule;Tension batterie de traction;Etat de charge de la batterie de traction;Demande de force aux roues lorsque la consigne du groupe motopropulseur est égal à zéro;Température bac de la batterie de traction;Courant batterie de traction mesuré par LBC
Temps;M-02-00;M-38-00;M-39-00;M-44-00;M-37-00;M-1B-00
sec;km/h;Volt;%;Nm;°C;A
8,976;0,0;383,00;85,3;-16384;19;-0,65
9,022;0,0;383,00;85,3;-16384;19;-0,65
9,069;0,0;383,00;85,3;-16384;19;-0,65
9,115;0,0;383,00;85,3;-16384;19;-0,65
9,162;0,0;383,00;85,3;-16384;19;-0,65
9,208;0,0;383,00;85,3;-16384;19;-0,65
9,255;0,0;383,50;85,3;-16384;19;-0,65
9,303;0,0;383,50;85,3;-16384;19;-0,65
9,349;0,0;383,50;85,3;-16384;19;-0,65
9,394;0,0;383,50;85,3;-16384;19;-0,65
9,442;0,0;383,50;85,3;-16384;19;-0,40
9,488;0,0;383,50;85,3;-16384;19;-0,40
9,535;0,0;383,50;85,3;-16384;19;-0,40
9,583;0,0;383,50;85,3;-16384;19;-0,40
9,629;0,0;383,50;85,3;-16384;19;-0,40
9,675;0,0;383,50;85,3;-16384;19;-0,40
9,722;0,0;383,50;85,3;-16384;19;-0,90
9,768;0,0;383,50;85,3;-16384;19;-0,90
9,810;0,0;383,50;85,3;-16384;19;-0,90
9,858;0,0;383,50;85,3;-16384;19;-0,90
9,906;0,0;383,50;85,3;-16384;19;-0,90
9,954;0,0;383,50;85,3;-16384;19;-0,90
10,002;0,0;383,50;85,3;-16384;19;-1,15
10,049;0,0;383,50;85,3;-16384;19;-1,15
10,096;0,0;383,00;85,3;-16384;19;-1,15
10,143;0,0;383,00;85,3;-16384;19;-1,15
10,194;0,0;383,00;85,3;-16416;19;-1,15
10,242;0,0;383,00;85,3;-16416;19;-1,15
10,290;0,0;383,00;85,3;-16416;19;-2,15
10,338;0,0;383,00;85,3;-16416;19;-2,15
10,387;0,0;383,50;85,3;-16416;19;-2,15
10,434;0,0;383,50;85,3;-16416;19;-2,15
10,483;0,0;383,50;85,3;-16468;19;-2,15
10,530;0,0;383,50;85,3;-16468;19;-2,15
10,578;0,0;383,50;85,3;-16468;19;-2,90
10,624;0,9;383,50;85,3;-16468;19;-2,90
10,670;0,9;383,00;85,3;-16468;19;-2,90
10,706;0,9;383,00;85,3;-16468;19;-2,90
10,754;0,9;383,00;85,3;-16588;19;-2,90
10,802;0,9;383,00;85,3;-16588;19;-2,90
10,850;0,9;383,00;85,3;-16588;19;-2,65
10,897;1,7;383,00;85,3;-16588;19;-2,65
10,946;1,7;383,50;85,3;-16588;19;-2,65
10,994;1,7;383,50;85,3;-16588;19;-2,65
11,042;1,7;383,50;85,3;-16719;19;-2,65
11,090;1,7;383,50;85,3;-16719;19;-2,65
11,137;1,7;383,50;85,3;-16719;19;-2,65
11,184;2,3;383,50;85,3;-16719;19;-2,65
