Temps;Vitesse du véhicule;Courant batterie de traction mesuré par LBC
Temps;M-02-00;M-1B-00
sec;km/h;A
25,158;43,0;-31,90
25,206;43,0;-30,90
25,257;43,1;-30,90
25,305;43,1;-29,90
25,357;43,3;-29,90
25,404;43,3;-30,15
25,458;43,4;-30,15
25,515;43,4;-28,65
25,573;43,5;-28,65
25,620;43,5;-27,65
25,669;43,6;-27,65
25,717;43,6;-26,90
25,776;43,8;-26,90
25,843;43,8;-25,90
25,890;44,0;-25,90
25,943;44,0;-26,40
25,992;44,1;-26,40
26,043;44,1;-25,65
26,092;44,3;-25,65
26,143;44,3;-25,40
26,191;44,4;-25,40
26,243;44,4;-24,40
26,291;44,5;-24,40
26,323;44,5;-23,40
26,375;44,6;-23,40
26,421;44,6;-22,15
26,474;44,7;-22,15
26,515;44,7;-21,15
26,559;44,8;-21,15
26,606;44,8;-20,15
26,644;44,9;-20,15
26,691;44,9;-18,40
26,723;45,0;-18,40
26,775;45,0;-17,15
26,822;45,1;-17,15
26,875;45,1;-15,15
26,923;45,2;-15,15
26,976;45,2;-13,90
27,024;45,3;-13,90
27,076;45,3;-12,40
27,123;45,3;-12,40
27,170;45,3;-11,65
27,217;45,4;-11,65
27,265;45,4;-10,65
27,313;45,5;-10,65
27,360;45,5;-9,90
27,407;45,5;-9,90
27,445;45,5;-9,40
27,492;45,6;-9,40
27,545;45,6;-8,40
27,594;45,6;-8,40
27,645;45,6;-7,40
27,693;45,6;-7,40
27,745;45,6;-4,65
27,792;45,7;-4,65
27,845;45,7;-2,90
27,892;45,8;-2,90
27,945;45,8;-2,15
27,994;45,8;-2,15
28,045;45,8;-1,90
28,094;45,9;-1,90
28,145;45,9;-1,40
28,193;46,0;-1,40
28,245;46,0;0,35
28,292;46,0;0,35
28,323;46,0;-1,15
28,378;46,1;-1,15
28,426;46,1;-0,65
28,477;46,1;-0,65
28,519;46,1;1,60
28,577;46,0;1,60
28,626;46,0;6,10
28,678;46,1;6,10
28,726;46,1;9,35
28,778;46,1;9,35
28,826;46,1;12,35
28,877;46,1;12,35
28,925;46,1;16,10
28,978;46,1;16,10
29,025;46,1;20,10
29,078;46,0;20,10
29,125;46,0;24,10
29,178;45,9;24,10
29,226;45,9;27,60
29,263;45,8;27,60
29,311;45,8;30,10
29,362;45,8;30,10
29,409;45,8;32,35
29,447;45,7;32,35
29,495;45,7;34,10
29,547;45,6;34,10
29,595;45,6;35,85
29,648;45,4;35,85
29,691;45,4;37,35
29,747;45,2;37,35
29,794;45,2;37,85
29,847;45,1;37,85
29,889;45,1;38,35
29,931;44,9;38,35
29,982;44,9;38,85
30,030;44,7;38,85
30,080;44,7;39,85
30,128;44,6;39,85
30,180;44,6;40,85
30,227;44,4;40,85
30,287;44,4;41,60
30,348;44,2;41,60
30,396;44,2;42,60
30,448;44,0;42,60
30,495;44,0;40,35
30,532;43,9;40,35
30,579;43,9;36,60
30,627;43,7;36,60
30,680;43,7;32,85
30,727;43,6;32,85
30,781;43,6;28,35
30,829;43,5;28,35
30,880;43,5;20,10
30,927;43,4;20,10
30,982;43,4;15,10
31,030;43,5;15,10
31,086;43,5;11,60
31,147;43,4;11,60
31,195;43,4;10,10
31,243;43,4;10,10
31,292;43,4;11,10
31,350;43,5;11,10
31,408;43,5;12,10
31,450;43,5;12,10
31,493;43,5;12,60
31,550;43,5;12,60
31,598;43,5;13,35
31,660;43,6;13,35
31,692;43,6;13,60
31,751;43,6;13,60
31,799;43,6;13,85
31,852;43,6;13,85
31,899;43,6;13,60
31,952;43,7;13,60
32,000;43,7;13,85
32,050;43,7;13,85
32,094;43,7;13,85
32,152;43,8;13,85
32,200;43,8;13,35
32,252;43,8;13,35
32,300;43,8;12,10
32,352;43,8;12,10
32,401;43,8;11,60
32,453;43,9;11,60
32,501;43,9;11,10
32,552;44,0;11,10
32,611;44,0;9,10
32,653;44,1;9,10
32,700;44,1;2,85
32,753;44,2;2,85
32,801;44,2;-0,15
32,833;44,4;-0,15
32,885;44,4;-1,40
